"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
2,4,4,"s1",-268.627775825337,10,61,134.313887912668,-248.627775825337,-227.519037183604,-240.355063326773,-244.227775825337,-207.833659939958,NA,2.56521845306974,0.494728467062076,NA,NA,-2.12319305242661,1.27189900387047,45.8288865623621,0.162562113225009,0.666666666666667,FALSE,FALSE,"",-204.889817957628,217
3,4,4,"s1",-271.253679699382,11,61,135.626839849691,-249.253679699382,-226.034067193475,-240.153695950961,-243.865924597341,-207.630144578981,NA,2.76989311947053,0.428981961008305,NA,NA,-2.7836299168057,1.96352214321973,55.7914102623588,0.133244138503989,0.571428571428571,FALSE,FALSE,"",-203.43540036847,218
4,4,4,"s1",-272.074691056344,12,61,136.037345528172,-248.074691056344,-222.744204686265,-238.147436058068,-241.574691056344,-205.34051186322,NA,2.95390355172382,0.375482363862787,NA,NA,-3.1849343854284,2.40863873045852,61.808790737223,0.125256181741764,0.5,FALSE,FALSE,"",-199.519861893702,219
5,4,4,"s1",-271.881562702553,13,60,135.940781351277,-245.881562702553,-218.655083393666,-235.231789895401,-237.968519224293,-202.551876808057,NA,2.84071264404413,0.407331962206,NA,NA,-8.75944765164821,18.2691749570378,145.543552413878,0.0471076728925538,0.444444444444444,FALSE,FALSE,"",-195.617871954793,220
1,5,4,"s1",-269.312021986226,10,60,134.656010993113,-249.312021986226,-228.368576364005,-241.119889057647,-244.822226067858,-208.648179820503,NA,2.53758967600886,0.504080465541424,NA,NA,-3.88120183759606,3.26258246773512,72.0798118355921,0.100852838725963,0.833333333333333,FALSE,FALSE,"",-203.828730805038,221
2,5,4,"s1",-269.34212378886,11,60,134.67106189443,-247.34212378886,-224.304333604417,-238.330777567423,-241.84212378886,-205.800743268637,NA,2.49613326830564,0.518088008141446,NA,NA,-4.12709933486732,4.05599443323127,75.7763529392297,0.0952595063833543,0.714285714285714,FALSE,FALSE,"",-200.247507959454,222
3,5,4,"s1",-270.727023984529,12,60,135.363511992264,-246.727023984529,-221.594889237864,-236.896464470234,-240.088726112188,-204.366712532652,NA,2.58945348341812,0.486696455653633,NA,NA,-5.40323108189016,7.03563605482087,95.0292405572935,0.073297172361761,0.625,FALSE,FALSE,"",-197.781656829222,223
4,5,4,"s1",-271.879527728892,13,60,135.939763864446,-245.879527728892,-218.653048420005,-235.229754921739,-237.966484250631,-202.765121916017,NA,2.8079889975417,0.416979074522499,NA,NA,-8.41643043695018,17.1088843381769,140.373139439087,0.0490772098832025,0.555555555555556,FALSE,FALSE,"",-195.55733276855,224
5,5,4,"s1",-271.883529526252,14,60,135.941764763126,-243.883529526252,-214.562705655142,-232.414543426241,-234.550196192918,-199.881226119685,NA,2.73320174462262,0.440655679217988,NA,NA,-8.58460211958798,18.2266334048119,142.902061775878,0.0482016051783173,0.5,FALSE,FALSE,"",-192.119269976018,225
1,1,5,"s1",-269.505093072493,6,64,134.752546536246,-257.505093072493,-244.551794572335,-252.402134488736,-256.031408861967,-221.565180111569,NA,11.2729557428745,0.00320496397931886,-3.65476348870676,0.0572487712279835,-1.84923996806238,0.71081580814966,41.6124752027731,0.226636664185939,0.5,TRUE,FALSE,"",-221.713842367507,226
2,1,5,"s1",-264.622690703305,7,63,132.311345351653,-250.622690703305,-235.620747618565,-244.722353160784,-248.586327066942,-213.610731380625,NA,10.1503354934904,0.00709277110533986,-3.23416301909849,0.140306126335551,-1.93119609468281,0.85456112544122,42.8297988488204,0.217492911336109,0.333333333333333,TRUE,FALSE,"",-214.307905097652,227
